Crash ID,Adj ADT,At Intersection Flag,ADT,ADT Year,City,Contributing Factors,Control Section,CS Milepoint,Crash Date,Death Count,Month,NonSusp Serious Inj,Possible Inj,Crash Severity,Susp Serious Inj,Crash Time,Total Inj,Year,Day of Week,DFO,Fatal Crash Flag,First Harmful Event,Hwy Lane Design,Hour,Intersecting Hwy Number,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Located Flag,Longitude,Manner of Collision,Median Type,Entering Roads,Number of Lanes,Object Struck,On System Flag,Other Factor,Population Group,Private Drive Flag,Ref Marker,RM Offset,Road Class,Roadway Alignment,Roadway Function,Roadway Relation,Roadway Type,Rural Flag,Speed Limit,Street Name,Surface Condition,Traffic Control Type,Weather Condition
19788753,10439,False,10439,2023,CORPUS CHRISTI,LOAD NOT SECURED,226303,25.678,2023-09-30,0,9,0,0,N - NOT INJURED,0,1200,0,2023,SATURDAY,33.397,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,12:00 - 12:59,,NEWPORT PASS RD,INTERSECTION RELATED,27.63500792,DAYLIGHT,YES,-97.20197921,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,-0.285,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,55,SH0361,DRY,MARKED LANES,CLEAR
19805624,6181,False,6181,2023,ARANSAS PASS,FAILED TO CONTROL SPEED,226302,4.317,2023-10-01,0,10,0,0,N - NOT INJURED,0,2106,0,2023,SUNDAY,14.754,0,FIXED OBJECT,TWO-WAY,21:00 - 21:59,,N/A,NON INTERSECTION,27.86451044,"DARK, UNKNOWN LIGHTING",YES,-97.0836622,ONE MOTOR VEHICLE - GOING STRAIGHT,NO MEDIAN,NOT APPLICABLE,2,HIT GUARDRAIL,True,"LOST CONTROL OR SKIDDED (ICY OR SLICK ROAD, ETC.)","5,000 - 9,999 POP",NO,0618,0.375,US & STATE HIGHWAYS,"STRAIGHT, GRADE",MINOR ARTERIAL,OFF ROADWAY,"2 LANE, 2 WAY",False,55,SH0361,WET,CENTER STRIPE/DIVIDER,RAIN
19840715,10439,True,10439,2023,CORPUS CHRISTI,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,226303,26.723,2023-10-03,0,10,0,0,N - NOT INJURED,0,1859,0,2023,TUESDAY,34.442,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,18:00 - 18:59,,ZAHN RD,INTERSECTION,27.62201986,DAYLIGHT,YES,-97.21077788,ANGLE - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,THREE ENTERING ROADS - T,5,NOT APPLICABLE,True,NOT APPLICABLE,"250,000 POP AND OVER",NO,0638,0.76,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,DRY,STOP SIGN,CLEAR
19797961,9764,True,9764,2023,PORT ARANSAS,OTHER (EXPLAIN IN NARRATIVE),226302,7.266,2023-10-07,0,10,0,0,N - NOT INJURED,0,1058,0,2023,SATURDAY,17.718,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,10:00 - 10:59,,S ALISTER ST,INTERSECTION RELATED,27.82817809,DAYLIGHT,YES,-97.06701784,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,NO MEDIAN,FOUR ENTERING ROADS,2,NOT APPLICABLE,True,"SLOWING/STOPPING - FOR OFFICER, FLAGMAN, OR TRAFFIC CONTROL","2,500 - 4,999 POP",NO,0622,-0.01,CITY STREET,"STRAIGHT, GRADE",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,30,SH0361,DRY,SIGNAL LIGHT,CLOUDY
19829351,10439,False,10439,2023,CORPUS CHRISTI,OTHER (EXPLAIN IN NARRATIVE),226303,24.669,2023-10-13,0,10,2,0,B - SUSPECTED MINOR INJURY,0,0659,2,2023,FRIDAY,32.388,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,06:00 - 06:59,,N/A,NON INTERSECTION,27.64757547,"DARK, NOT LIGHTED",YES,-97.19350724,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,SLOWING/STOPPING-REASON NOT SPECIFIED,"250,000 POP AND OVER",NO,0636,0.705,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,60,SH0361,WET,CENTER STRIPE/DIVIDER,FOG
19822455,,False,,,PORT ARANSAS,DISREGARD STOP AND GO SIGNAL; IMPAIRED VISIBILITY (EXPLAIN IN NARRATIVE),,,2023-10-21,0,10,0,0,N - NOT INJURED,0,0625,0,2023,SATURDAY,,0,PEDESTRIAN,,06:00 - 06:59,,N/A,NON INTERSECTION,,"DARK, NOT LIGHTED",?0,,ONE MOTOR VEHICLE - GOING STRAIGHT,,OTHER (EXPLAIN IN NARRATIVE),,NOT APPLICABLE,True,VISION OBSTRUCTED BY OTHER VISUAL OBSTRUCTIONS,"2,500 - 4,999 POP",NO,,,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",,ON ROADWAY,,True,35,SH0361,WET,FLAGMAN,CLEAR
19829481,10439,True,10439,2023,CORPUS CHRISTI,DISREGARD STOP AND GO SIGNAL,226303,27.498,2023-10-22,0,10,0,0,N - NOT INJURED,0,1239,0,2023,SUNDAY,35.217,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,12:00 - 12:59,0022,PR0022,INTERSECTION,27.6178894,DAYLIGHT,YES,-97.22177124,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,NO MEDIAN,FOUR ENTERING ROADS,5,NOT APPLICABLE,True,FOOT SLIPPED OFF BRAKE OR CLUTCH,"250,000 POP AND OVER",NO,0638,1.535,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,45,SH0361,DRY,SIGNAL LIGHT,CLEAR
19836642,6181,False,6181,2023,ARANSAS PASS,CHANGED LANE WHEN UNSAFE;OVERTAKE AND PASS INSUFFICIENT CLEARANCE;PASSED IN NO PASSING LANE;INTOXICATED - ALCOHOL,226302,0.325,2023-10-22,0,10,0,1,C - POSSIBLE INJURY,0,1842,1,2023,SUNDAY,10.762,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,18:00 - 18:59,,N/A,NON INTERSECTION,27.89657893,DAYLIGHT,YES,-97.13560079,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,NO MEDIAN,NOT APPLICABLE,2,NOT APPLICABLE,True,VEHICLE PASSING OR ATTEMPTING TO PASS ON LEFT,"5,000 - 9,999 POP",NO,0614,0.337,US & STATE HIGHWAYS,"STRAIGHT, HILLCREST",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",False,45,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
19848187,15893,False,15893,2023,PORT ARANSAS,DRIVER INATTENTION,226303,10.809,2023-10-26,0,10,0,0,N - NOT INJURED,0,0945,0,2023,THURSDAY,18.528,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,09:00 - 09:59,,N/A,NON INTERSECTION,27.81826114,DAYLIGHT,YES,-97.07403933,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,NO MEDIAN,NOT APPLICABLE,2,NOT APPLICABLE,True,VEHICLE CHANGING LANES,"2,500 - 4,999 POP",NO,0622,0.8,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"2 LANE, 2 WAY",True,45,SH0361,DRY,MARKED LANES,CLEAR
19843191,10439,False,10439,2023,CORPUS CHRISTI,CHANGED LANE WHEN UNSAFE,226303,24.679,2023-10-29,0,10,0,0,N - NOT INJURED,0,0704,0,2023,SUNDAY,32.398,0,MOTOR VEHICLE IN TRANSPORT,TWO-WAY,07:00 - 07:59,,N/A,NON INTERSECTION,27.64745804,DAWN,YES,-97.19358747,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,NO MEDIAN,NOT APPLICABLE,5,NOT APPLICABLE,True,VEHICLE CHANGING LANES,"250,000 POP AND OVER",NO,0636,0.715,US & STATE HIGHWAYS,"STRAIGHT, LEVEL",MINOR ARTERIAL,ON ROADWAY,"4 OR MORE LANES, UNDIVIDED",False,65,SH0361,DRY,CENTER STRIPE/DIVIDER,CLEAR
